,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
1302,1302,12126,Al límite de la verdad,Changing Lanes,"['Crimen', 'Suspense']",['Roger Michell'],"['new york', 'custody battle', 'suspense', 'lawyer']","['Ben Affleck', 'Samuel L. Jackson', 'Kim Staunton', 'Toni Collette', 'Sydney Pollack']",22
1303,1303,12208,La telaraña de Carlota,Charlotte's Web,"['Comedia', 'Familia', 'Fantasía']",['Gary Winick'],"['hero', 'barn', 'spider', 'pig', 'egg', 'friendship', 'spring', 'uncle', 'friends', 'rescue', 'survival', 'anthropomorphism', 'grass', 'family', 'desk', 'raincoat', 'talking pig']","['Julia Roberts', 'Steve Buscemi', 'John Cleese', 'Oprah Winfrey', 'Cedric the Entertainer']",34
1304,1304,12253,Qué extraño llamarse Federico,Che strano chiamarsi Federico,['Documental'],['Ettore Scola'],['biography'],"['Federico Fellini', 'Vittorio Viviani', ""Ernesto D'Argenio"", 'Antonella Attili']",14
1305,1305,12444,Chicken Little,Chicken Little,"['Animación', 'Familia', 'Comedia']",['Mark Dindal'],"['fish', 'small town', 'space marine', 'chicken', 'alien', 'best friend', 'alien invasion', 'animal', 'duringcreditsstinger', '3d']","['Zach Braff', 'Joan Cusack', 'Dan Molina', 'Steve Zahn', 'Garry Marshall']",35
1306,1306,12445,Chicken Run: Evasión en la granja,Chicken Run,"['Animación', 'Comedia', 'Familia']","['Peter Lord', 'Nick Park']","['chicken', 'northern england', 'freedom', 'yorkshire', 'royal air force', 'escape', 'farmer', 'chicken farm', 'pie machine']","['Mel Gibson', 'Miranda Richardson', 'Timothy Spall', 'Imelda Staunton', 'Jane Horrocks']",35
1307,1307,12601,Chinatown,Chinatown,"['Crimen', 'Drama', 'Misterio', 'Suspense']",['Roman Polański'],"['rape', 'sea', 'river', 'chinatown', 'mistake in person', 'pedophilia', 'dying and death', 'barrage', 'los angeles', 'private detective', 'neo-noir']","['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez', 'John Hillerman']",43
1308,1308,12626,Chloe,Chloe,"['Drama', 'Suspense', 'Misterio']",['Atom Egoyan'],"['toronto', 'remake', 'lesbian', 'suspicious wife', 'female doctor', 'playing piano']","['Julianne Moore', 'Liam Neeson', 'Amanda Seyfried', 'Max Thieriot', 'R. H. Thomson']",33
1347,1347,15277,Bailar en la oscuridad,Dancer in the Dark,"['Drama', 'Crimen', 'Música']",['Lars von Trier'],"['individual', 'dancing', 'usa', 'robbery', 'factory worker', 'secret', 'factory', 'small town', 'dance', 'blindness and impaired vision', 'immigrant', 'eye operation', 'eyesight', 'fantasy', 'naivety', 'hereditary disease', 'dying and death', 'debt', 'police officer']","['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare', 'Joel Grey']",29
1348,1348,15399,Nadie sabe,誰も知らない,['Drama'],['Hirokazu Koreeda'],"['japan', 'sibling relationship', 'loss of loved one', 'season', 'tokyo japan', 'kids on their own']","['Yuya Yagira', 'Ayu Kitaura', 'Hiei Kimura', 'Momoko Shimizu', 'Hanae Kan']",9
1349,1349,15458,Dark Water (La huella),Dark Water,"['Drama', 'Terror', 'Suspense']",['Walter Salles'],"['based on novel or book', 'water', 'remake', 'teacher', 'divorce', 'apartment', 'ghost', 'manhattan, new york city']","['Jennifer Connelly', 'John C. Reilly', 'Tim Roth', 'Dougray Scott', 'Pete Postlethwaite']",31
1350,1350,15500,La Casa de los Cocodrilos,Das Haus der Krokodile,"['Aventura', 'Familia', 'Misterio']","['Cyrill Boss', 'Phillip Stennert']",[],"['Kristo Ferkic', 'Joanna Ferkic', 'Vijessna Ferkic', 'Uwe Friedrichsen', 'Christian Furrer']",35
1351,1351,15599,El amanecer del planeta de los simios,Dawn of the Planet of the Apes,"['Ciencia ficción', 'Acción', 'Drama', 'Suspense']",['Matt Reeves'],"['leader', 'colony', 'post-apocalyptic', 'dystopia', 'animal attack', 'forest', 'sequel', 'woods', 'ape', 'scientist', 'monkey', 'medical research', 'plague', '3d']","['Andy Serkis', 'Jason Clarke', 'Gary Oldman', 'Keri Russell', 'Toby Kebbell']",50
1352,1352,15848,El club de los poetas muertos,Dead Poets Society,['Drama'],['Peter Weir'],"['individual', 'philosophy', 'poetry', 'shakespeare', 'professor', 'literature', 'friendship', 'teacher', 'school play', 'vermont', 'preparatory school', ""shakespeare's a midsummer night's dream""]","['Robin Williams', 'Ethan Hawke', 'Robert Sean Leonard', 'Gale Hansen', 'Josh Charles']",9
1353,1353,15899,Deadpool,Deadpool,"['Acción', 'Aventura', 'Comedia']",['Tim Miller'],"['anti hero', 'mercenary', 'superhero', 'based on comic', 'breaking the fourth wall', 'aftercreditsstinger', 'duringcreditsstinger', 'self healing']","['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein', 'T.J. Miller', 'Gina Carano']",33
1354,1354,15968,Sentencia de muerte,Death Sentence,"['Acción', 'Crimen', 'Drama', 'Suspense']",['James Wan'],"['loss of loved one', 'repayment', 'revenge', 'murder', 'gang', 'police officer killed', 'hospital', 'extreme violence', 'justice', 'hoodlum', 'semiautomatic pistol']","['Kevin Bacon', 'Garrett Hedlund', 'Kelly Preston', 'Jordan Garrett', 'John Goodman']",41
1355,1355,16024,Desmontando a Harry,Deconstructing Harry,"['Comedia', 'Drama']",['Woody Allen'],"['new york', ""writer's block"", 'insanity', 'independent film', 'author']","['Woody Allen', 'Kirstie Alley', 'Billy Crystal', 'Judy Davis', 'Caroline Aaron']",20
1390,1390,18024,La conspiración del pánico,Eagle Eye,"['Misterio', 'Suspense', 'Acción']",['D.J. Caruso'],"['usa', 'artificial intelligence', 'washington d.c.', 'secret identity', 'hostage', 'technology', 'fbi', 'pentagon', 'twin brother']","['Shia LaBeouf', 'Michelle Monaghan', 'Rosario Dawson', 'Michael Chiklis', 'Anthony Mackie']",34
1392,1392,18383,El Aura,El Aura,"['Crimen', 'Drama', 'Suspense']",['Fabián Bielinsky'],"['casino', 'epilepsy', 'patagonia', 'taxidermy', 'hunting trip', 'heist', 'betrayal', 'independent film', 'argentina', 'armored truck', 'neo-noir', 'accidental killing']","['Ricardo Darín', 'Dolores Fonzi', 'Pablo Cedrón', 'Nahuel Pérez Biscayart', ""Jorge D'Elía""]",31
1394,1394,18643,El custodio,El custodio,['Drama'],['Rodrigo Moreno'],[],"['Julio Chávez', 'Jonás Elfenbaum', 'Guadalupe Docampo', 'Osmar Núñez', ""Marcelo D'Andrea""]",9
1395,1395,18647,El delfín: La historia de un soñador,The Dolphin Story of a Dreamer,['Animación'],['Eduardo Schuldt'],[],"['Robbie Daymond', 'Debra L. Repashy', 'Michael Ferreri', 'Steven Booth', 'Giovanni Ciccia']",13
1397,1397,18807,El gato desaparece,El gato desaparece,"['Drama', 'Suspense']",['Carlos Sorin'],[],"['Maria Abadi', 'Norma Argentina', 'Gisela Aringoli', 'Alejandro Javier Bures', 'Emma Jayne Carlton']",21
1399,1399,18869,El hijo de la novia,El hijo de la novia,"['Comedia', 'Drama', 'Romance']",['Juan José Campanella'],"['heart attack', 'buenos aires', 'bride', 'marriage', 'toilet', 'friends', 'wedding', 'urination', 'waiter', 'therapy', 'vice squad', 'watching tv']","['Ricardo Darín', 'Héctor Alterio', 'Norma Aleandro', 'Eduardo Blanco', 'Natalia Verbeke']",31
1400,1400,19141,El Otro,El Otro,['Drama'],['Ariel Rotter'],[],"['Julio Chávez', 'María Onetto', 'María Ucedo', 'Inés Molina', 'Arturo Goetz']",9
