,id,title,title_original,genres,director,keywords,cast
1903,79371,Planetarium,Planetarium,"['Drama', 'Fantasía', 'Misterio']",['Rebecca Zlotowski'],"['sibling relationship', 'ghost', 'woman director', 'actress', 'spiritism', 'french cinema', 'sister sister relationship', 'seánce']","['Natalie Portman', 'Lily-Rose Depp', 'Emmanuel Salinger', 'Amira Casar', 'Pierre Salvadori']"
1904,79381,Persecución al límite,Collide,"['Suspense', 'Acción']",['Eran Creevy'],[],"['Nicholas Hoult', 'Felicity Jones', 'Anthony Hopkins', 'Ben Kingsley', 'Marwan Kenzari']"
1905,79767,10 jours en or,10 jours en or,"['Comedia', 'Drama']",['Nicolas Brossette'],[],"['Franck Dubosc', 'Claude Rich', 'Marie Kremer', 'Mathis Touré', 'Rufus']"
1906,79768,A Yellow Bird,A Yellow Bird,['Drama'],['K. Rajagopal'],['prison'],"['Sivakumar Palakrishnan', 'Seema Biswas', 'Huang Lu', 'Marcus Mok', 'Indra Chandran']"
1907,79769,Abby Sen,Abby Sen,"['Comedia', 'Drama', 'Ciencia ficción']",[],"['abby sen', 'abby', 'bengali movie']","['Abir Chatterjee', 'Raima Sen', 'Paran Banerjee', 'Biswanath Basu', 'Bratya Basu']"
1908,79770,Aditi Mittal: Things They Wouldn't Let Me Say,Aditi Mittal: Things They Wouldn't Let Me Say,['Comedia'],['Fazila Allana'],"['stand-up comedy', 'female comedian']",['Aditi Mittal']
1909,79771,Albion: The Enchanted Stallion,Albion: The Enchanted Stallion,"['Fantasía', 'Aventura', 'Comedia', 'Familia']",['Castille Landon'],"['horse', 'stallion', 'mystical world']","['Avery Arendes', 'Castille Landon', 'Johnny Sequoyah', 'Jennifer Morrison', 'Debra Messing']"
1910,79772,Amar Akbar & Tony,Amar Akbar & Tony,"['Romance', 'Comedia', 'Drama']",['Atul Malhotra'],[],"['Rez Kempton', 'Sam Vincenti', 'Martin Delaney', 'Karen David', 'Amrita Acharia']"
1911,79773,Arès,Arès,"['Drama', 'Suspense', 'Ciencia ficción']",['Jean-Patrick Benes'],"['paris france', 'france', 'capitalism', 'dystopia', 'fighter', 'male prostitute', 'cyberpunk', 'mysterious drug', 'inequality', 'cross dresser', 'prize fight', 'human experiment', 'near future']","['Ola Rapace', 'Micha Lescot', 'Ruth Vega Fernandez', 'Thierry Hancisse', 'Hélène Fillières']"
1912,79775,Blame!,ブラム,"['Acción', 'Drama', 'Ciencia ficción', 'Animación']",['Hiroyuki Seshita'],"['3d', 'anime']","['Takahiro Sakurai', 'Kana Hanazawa', 'Sora Amamiya', 'Mamoru Miyano', 'Aya Suzaki']"
1913,79776,Bokeh,Bokeh,"['Drama', 'Ciencia ficción', 'Suspense']","['Geoffrey Orthwein', 'Andrew Sullivan']",[],"['Maika Monroe', ""Matt O'Leary"", 'Arnar Jónsson', 'Gunnar Helgason', 'Berglind Rós Sigurôardóttir']"
1914,79777,Cyborg Girl,僕の彼女はサイボーグ,"['Acción', 'Comedia', 'Ciencia ficción']",['Kwak Jae-yong'],"['cyborg', 'earthquake', 'time travel']","['Haruka Ayase', 'Keisuke Koide', 'Risa Ai', 'Yoshikazu Ebisu', ""Ken'ichi Endô""]"
1915,79778,Bowie: The Man Who Changed the World,Bowie: The Man Who Changed the World,"['Documental', 'Música']",['Sonia Anderson'],['woman director'],[]
1916,79779,Burden,Burden,['Documental'],"['Timothy Marrinan', 'Richard Dewey']",[],['Chris Burden']
1917,79780,Burlesque: Heart of the Glitter Tribe,Burlesque: Heart of the Glitter Tribe,['Documental'],['Jon Manning'],"['dancing', 'music', 'burlesque']","['Zora von Pavonine', 'Babs Jamboree', 'Angelique DeVil']"
1918,79781,Catfight,Catfight,"['Comedia', 'Drama']",['Onur Tukel'],"['fight', 'rivalry', 'girl fight', 'event']","['Sandra Oh', 'Anne Heche', 'Alicia Silverstone', 'Dylan Baker', 'Tituss Burgess']"
1919,79782,En busca del coral,Chasing Coral,['Documental'],['Jeff Orlowski'],"['global warming', 'scuba diving', 'time lapse photography', 'underwater photography', 'marine biology']","['Andrew Ackerman', 'Pim Bongaerts', 'Neal Cantin', 'Phil Dustan', 'Ruth Gates']"
1920,79783,Chingo Bling: They Can't Deport Us All,Chingo Bling: They Can't Deport Us All,[],[],[],[]
1921,79784,Chris D'Elia: Man on Fire,Chris D'Elia: Man on Fire,[],[],[],[]
1922,79785,Chronically Metropolitan,Chronically Metropolitan,"['Drama', 'Comedia']",['Xavier Manrique'],[],"['Shiloh Fernandez', 'Ashley Benson', 'Addison Timlin', 'Mary-Louise Parker', 'Chris Noth']"
1923,79786,City of Tiny Lights,City of Tiny Lights,"['Crimen', 'Drama', 'Suspense']",['Pete Travis'],"['london england', 'based on novel or book', 'political intrigue\xa0', 'missing persons case', 'private eye', 'religious fanaticism']","['Riz Ahmed', 'Billie Piper', 'James Floyd', 'Cush Jumbo', 'Roshan Seth']"
1924,79787,Colombia: Magia Salvaje,Colombia: Magia Salvaje,['Documental'],[],[],[]
1925,79788,Contratiempo,Contratiempo,"['Misterio', 'Crimen', 'Suspense']",['Oriol Paulo'],"['judge', 'suspect', 'interrogation', 'false accusation of murder', 'unreliable narrator', 'confession of crime', 'uncover truth', 'accusation']","['Mario Casas', 'José Coronado', 'Bárbara Lennie', 'Ana Wagener', 'Francesc Orella']"
1926,79790,Daughters of the Dust,Daughters of the Dust,"['Drama', 'Romance']",['Julie Dash'],"['rape', 'island', 'mystic', 'slavery', 'woman director']","['Cora Lee Day', 'Alva Rogers', 'Barbarao', 'Trula Hoosier', 'Umar Abdurrahamn']"
1927,79791,Defying the Nazis: The Sharps' War,Defying the Nazis: The Sharps' War,['Documental'],"['Artemis Joukowsky', 'Ken Burns']",['nazi'],"['Marina Goldman', 'Tom Hanks']"
1928,79792,Dharam Sankat Mein,Dharam Sankat Mein,"['Comedia', 'Drama', 'Familia', 'Fantasía', 'Misterio']",['Fuwad Khan'],"['islam', 'sikh', 'hindu', 'nation of islam']","['Paresh Rawal', 'Annu Kapoor', 'Naseeruddin Shah', 'Gippy Grewal', 'Auritra Ghosh']"
1929,79793,Disturbing the Peace,Disturbing the Peace,['Documental'],"['Stephen Apkon', 'Andrew Young']","['israel', 'palestine', 'protest', 'peace work', 'war']","['Chen Alon', 'Sulaiman Khatib']"
1930,79795,El patrón. Radiografía de un crimen,El patrón. Radiografía de un crimen,"['Drama', 'Crimen']",['Sebastián Schindel'],[],"['Germán de Silva', 'Joaquín Furriel', 'Luis Ziembrowski', 'Guillermo Pfening', 'Mónica Lairana']"
1931,79796,El soborno del cielo,El soborno del cielo,['Comedia'],['Lisandro Duque Naranjo'],[],[]
1932,79797,Emmanuel Macron: Behind the Rise,Emmanuel Macron : les coulisses d'une victoire,['Documental'],"[""Yann L'Hénoret""]",['politics'],"['Emmanuel Macron', 'Brigitte Macron']"
1933,79798,Fuego en la sangre,Fire In The Blood,['Documental'],['Dylan Mohan Gray'],[],"['Zackie Achmat', 'Peter Mugyenyl', 'Bill Clinton', 'William Hurt']"
