,id,title,title_original,genres,director,keywords,cast
46,2299,9 meses,9 meses,[],['Miguel Perelló'],[],"['José Albarrán', 'Anabel Alonso', 'Enrique Arce', 'Miguel Barberá', 'Empar Brisa']"
47,2410,À bout portant,À bout portant,[],[],[],[]
48,2410,À bout portant,À bout portant,[],[],[],[]
49,2423,A Bug's Life,A Bug's Life,[],[],[],[]
50,2423,A Bug's Life,A Bug's Life,[],[],[],[]
51,2434,A calzón quitado,A calzón quitado,[],[],[],[]
52,2493,A Christmas Carol,A Christmas Carol,[],[],[],[]
53,2518,A Clockwork Orange,A Clockwork Orange,[],[],[],[]
54,2522,A Cock and Bull Story,A Cock and Bull Story,[],[],[],[]
55,2522,A Cock and Bull Story,A Cock and Bull Story,[],[],[],[]
56,2549,A Countess from Hong Kong,A Countess from Hong Kong,[],[],[],[]
57,2549,A Countess from Hong Kong,A Countess from Hong Kong,[],[],[],[]
58,2567,A Dangerous Man,A Dangerous Man,[],[],[],[]
59,2611,A Dog's Breakfast,A Dog's Breakfast,[],[],[],[]
60,2658,A Far Off Place,A Far Off Place,[],[],[],[]
61,2659,A Farewell to Arms,A Farewell to Arms,[],[],[],[]
62,2659,A Farewell to Arms,A Farewell to Arms,[],[],[],[]
63,2662,A Faster Horse,A Faster Horse,[],[],[],[]
64,2662,A Faster Horse,A Faster Horse,[],[],[],[]
65,2753,A Good Year,A Good Year,[],[],[],[]
66,2753,A Good Year,A Good Year,[],[],[],[]
67,2794,A Guerra dos Rocha,A Guerra dos Rocha,[],[],[],[]
68,2794,A Guerra dos Rocha,A Guerra dos Rocha,[],[],[],[]
69,2804,A Haunted House 2,A Haunted House 2,[],[],[],[]
70,2867,A Knight's Tale,A Knight's Tale,[],[],[],[]
71,2882,À la recherche de Franck Burns,À la recherche de Franck Burns,[],[],[],[]
72,2882,À la recherche de Franck Burns,À la recherche de Franck Burns,[],[],[],[]
73,2929,Un lugar solitario para morir,A Lonely Place to Die,"['Aventura', 'Acción', 'Suspense', 'Crimen']",['Julian Gilbey'],"['terror', 'scotland', 'kidnapping', 'wilderness', 'mountaineer', 'hiking', 'climbing', 'torture']","['Melissa George', 'Ed Speleers', 'Eamonn Walker', 'Alec Newman', 'Karel Roden']"
74,2932,Mejor otro día,A Long Way Down,"['Comedia', 'Drama']",['Pascal Chaumeil'],"['london england', 'suicide attempt', 'city', 'new year']","['Pierce Brosnan', 'Aaron Paul', 'Imogen Poots', 'Toni Collette', 'Sam Neill']"
75,2932,Mejor otro día,A Long Way Down,"['Comedia', 'Drama']",['Pascal Chaumeil'],"['london england', 'suicide attempt', 'city', 'new year']","['Pierce Brosnan', 'Aaron Paul', 'Imogen Poots', 'Toni Collette', 'Sam Neill']"
76,2936,El amor es lo que tiene,A Lot Like Love,"['Comedia', 'Drama']",['Nigel Cole'],"['new york', 'shyness', 'career', 'flight', 'romantic comedy', 'travel', 'los angeles']","['Ashton Kutcher', 'Amanda Peet', 'Aimee Garcia', 'Taryn Manning', 'Ali Larter']"
77,2947,A Madea Christmas,A Madea Christmas,"['Comedia', 'Drama']",['Tyler Perry'],['christmas'],"['Tyler Perry', 'Anna Maria Horsford', 'Tika Sumpter', 'Eric Lively', 'Chad Michael Murray']"
78,2972,A Máquina Voadora,A Máquina Voadora,[],[],[],[]
79,3020,A Mile in His Shoes,A Mile in His Shoes,"['Drama', 'Familia']",['William Dear'],[],"['Luke Schroder', 'George Canyon', 'Dean Cain', 'Chilton Crane', 'Jarod Joseph']"
80,3055,Music According to Tom Jobim,A Música Segundo Tom Jobim,"['Documental', 'Música']","['Nelson Pereira dos Santos', 'Dora Jobim']",['bossa nova'],"['Antônio Carlos Jobim', 'Ella Fitzgerald', 'Caetano Veloso', 'Gal Costa', 'Judy Garland']"
81,3055,Music According to Tom Jobim,A Música Segundo Tom Jobim,"['Documental', 'Música']","['Nelson Pereira dos Santos', 'Dora Jobim']",['bossa nova'],"['Antônio Carlos Jobim', 'Ella Fitzgerald', 'Caetano Veloso', 'Gal Costa', 'Judy Garland']"
82,3060,Doble venganza,A Nanny's Revenge,"['Drama', 'Suspense']",['Curtis Crawford'],[],"[""Jodi Lyn O'Keefe"", 'Michael Woods', 'Victoria Pratt', 'Cynthia Preston']"
83,3084,Pesadilla en Elm Street (El origen),A Nightmare on Elm Street,"['Terror', 'Misterio', 'Suspense']",[],[],[]
84,3207,A Ritmo de Fe,A Ritmo de Fe,[],[],[],[]
85,3207,A Ritmo de Fe,A Ritmo de Fe,[],[],[],[]
86,3213,A Room with a View,A Room with a View,[],[],[],[]
87,3213,A Room with a View,A Room with a View,[],[],[],[]
88,3236,A Serious Man,A Serious Man,[],[],[],[]
89,3247,A Single Man,A Single Man,[],[],[],[]
90,3247,A Single Man,A Single Man,[],[],[],[]
91,3250,A Sister's Nightmare,A Sister's Nightmare,[],[],[],[]
92,3266,A Sound of Thunder,A Sound of Thunder,[],[],[],[]
93,3268,A Stand Up Guy,A Stand Up Guy,[],[],[],[]
94,3301,A Thousand Kisses Deep,A Thousand Kisses Deep,[],[],[],[]
95,3301,A Thousand Kisses Deep,A Thousand Kisses Deep,[],[],[],[]
96,3324,A touch of spice,A touch of spice,[],[],[],[]
97,3324,A touch of spice,A touch of spice,[],[],[],[]
98,3414,A Walk in the Clouds,A Walk in the Clouds,[],[],[],[]
99,3414,A Walk in the Clouds,A Walk in the Clouds,[],[],[],[]
100,3471,Abandoned,Abandoned,[],[],[],[]
101,3537,About Cherry,About Cherry,[],[],[],[]
102,3537,About Cherry,About Cherry,[],[],[],[]
103,3540,About Last Night...,About Last Night...,[],[],[],[]
104,3556,Abracadabra,Abracadabra,[],[],[],[]
105,3556,Abracadabra,Abracadabra,[],[],[],[]
106,3560,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,[],[],[],[]
107,3878,Acompáñame,Acompáñame,[],[],[],[]
108,3916,Across the Hall,Across the Hall,[],[],[],[]
109,3936,Actores S.A.,Actores S.A.,[],[],[],[]
110,3936,"Actores, S.A.","Actores, S.A.",['Comedia'],['Carlos Sariñana'],['theater'],"['Raúl Méndez', 'Eugenio Bartilotti', 'Erick Elías', 'Sophie Alexander-Katz', 'Fernando Becerril']"
111,3949,Acuérdate de vivir,Acuérdate de vivir,[],['Roberto Gavaldón'],[],"['Libertad Lamarque', 'Carmen Montejo', 'Miguel Torruco', 'Joaquín Cordero']"
112,3979,Addicted,Addicted,"['Drama', 'Suspense']",['Bille Woodruff'],"['infidelity', 'obsession', 'lie', 'sin', 'interracial relationship', 'cheating wife', 'lust', 'attraction', 'deceit', 'temptation', 'hipersexualidad', 'faithful husband']","['Boris Kodjoe', 'Brandon Gonzales', 'Cameron Mills', 'Emayatzy Corinealdi', 'Garrett Hines']"
113,4066,Proceso de admisión,Admission,"['Comedia', 'Drama', 'Romance']",['Paul Weitz'],"['princeton university', 'adoption', 'wedding', 'admissions']","['Tina Fey', 'Paul Rudd', 'Michael Sheen', 'Lily Tomlin', 'Wallace Shawn']"
114,4184,"Adriana del Rio, actriz","Adriana del Rio, actriz",[],[],[],[]
115,4211,Adventures of a Teenage Dragonslayer,Adventures of a Teenage Dragonslayer,[],[],[],[]
