,id,title,title_original,genres,director,keywords,cast
34,17126,Django Unchained,Django Unchained,[],[],[],[]
35,17341,Don Jon,Don Jon,[],[],[],[]
36,17775,Drinking Buddies,Drinking Buddies,[],[],[],[]
37,17778,Drive,Drive,[],[],[],[]
38,17781,Drive Hard,Drive Hard,[],[],[],[]
39,17816,Du cheng feng yun,Du cheng feng yun,[],[],[],[]
40,18022,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial,[],[],[],[]
41,18060,Easy A,Easy A,[],[],[],[]
42,18071,Eat Pray Love,Eat Pray Love,[],[],[],[]
43,18468,El cantante,El cantante,[],[],[],[]
44,19035,El mariachi,El mariachi,[],[],[],[]
45,19553,El Valle del Vino,El Valle del Vino,[],[],[],[]
46,20236,Enigma,Enigma,[],[],[],[]
47,20555,Plan de escape,Escape Plan,"['Acción', 'Suspense']",['Mikael Håfström'],"['prison', 'prisoner', 'ship', 'mystery', 'escape', 'prison escape']","['Sylvester Stallone', 'Arnold Schwarzenegger', 'Jim Caviezel', 'Vinnie Jones', ""Vincent D'Onofrio""]"
48,21001,Sigo como Dios,Evan Almighty,"['Fantasía', 'Comedia', 'Familia']",['Tom Shadyac'],"['parent child relationship', 'daily life', 'married couple', 'support', 'father', 'marriage', 'faith', 'baustelle', 'rescue', 'animal', 'nature', 'duringcreditsstinger', ""noah's ark""]","['Steve Carell', 'Morgan Freeman', 'Lauren Graham', 'Johnny Simmons', 'Graham Phillips']"
49,21014,La apuesta perfecta,Even Money,"['Crimen', 'Drama']",['Mark Rydell'],"['gambling', 'gambling addiction']","['Kim Basinger', 'Kelsey Grammer', 'Forest Whitaker', 'Nick Cannon', 'Ray Liotta']"
50,21069,El héroe de todos,Everyone's Hero,"['Aventura', 'Animación', 'Comedia', 'Familia']","['Christopher Reeve', 'Colin Brady', 'Dan St. Pierre']","['baseball bat', 'sport', 'theft', 'new york yankees']","['William H. Macy', 'Rob Reiner', 'Brian Dennehy', 'Ritchie Allen', 'Jake T. Austin']"
51,21371,Cara a cara (Face/Off),Face/Off,"['Acción', 'Crimen', 'Ciencia ficción', 'Suspense']",['John Woo'],"['undercover', 'mexican standoff', 'fbi', 'biological weapon', 'face transplant', 'rage and hate', 'fistfight', 'hostility', 'revenge', 'deception', 'tragedy', 'shootout', 'hospital', 'boat chase', 'los angeles', 'explosion', 'extreme violence', 'prison escape', 'criminal gang', 'flashback', 'golden gun', 'arch villain', 'bullet ballet']","['John Travolta', 'Nicolas Cage', 'Joan Allen', 'Alessandro Nivola', 'Gina Gershon']"
52,22152,Buscando a Nemo,Finding Nemo,"['Animación', 'Familia']",['Andrew Stanton'],"['parent child relationship', 'harbor', 'anthropomorphism', 'underwater', 'fish tank', 'great barrier reef', 'missing child', 'aftercreditsstinger', 'duringcreditsstinger', 'short term memory loss', 'clownfish', 'father son reunion', 'protective father']","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe', 'Brad Garrett']"
53,22222,Obsesión Maternal,First Born,"['Drama', 'Terror', 'Suspense']",['Isaac Webb'],['independent film'],"['Elisabeth Shue', 'Steven Mackintosh', 'Kathleen Chalfant', 'Khandi Alexander', 'Carolyn Gilroy']"
54,23479,Gangs of New York,Gangs of New York,[],[],[],[]
55,23642,Gattaca,Gattaca,[],[],[],[]
56,23887,Get Shorty,Get Shorty,[],[],[],[]
57,23952,Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,[],[],[],[]
58,24106,Gladiator,Gladiator,[],[],[],[]
59,24483,Gothika,Gothika,[],[],[],[]
60,24739,Green Zone,Green Zone,[],[],[],[]
61,25260,Hannibal,Hannibal,[],[],[],[]
62,25406,Harsh Times,Harsh Times,[],[],[],[]
63,25695,Hellboy,Hellboy,[],[],[],[]
64,25761,Henry Poole Is Here,Henry Poole Is Here,[],[],[],[]
65,25767,Her,Her,[],[],[],[]
66,25865,Héroes,Héroes,[],[],[],[]
67,26318,Holy Rollers,Holy Rollers,[],[],[],[]
68,26435,Hook,Hook,[],[],[],[]
69,26446,Hop,Hop,[],[],[],[]
70,26453,Hope Springs,Hope Springs,[],[],[],[]
71,26570,Hotel Rwanda,Hotel Rwanda,[],[],[],[]
72,26572,Hotel Transylvania,Hotel Transylvania,[],[],[],[]
