,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
701,701,53348,El fugitivo,The Fugitive,"['Aventura', 'Acción', 'Suspense', 'Crimen', 'Misterio']",['Andrew Davis'],"['chicago', 'surgeon', 'death sentence', 'doomed man', 'chase', 'remake', 'betrayal', 'on the run', 'escape', 'fugitive', 'based on tv series', 'u.s. marshal', 'police corruption', 'doctor', 'home invasion', 'disguise', 'one armed man', 'framed for murder', 'flashback', 'manhunt']","['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward', 'Julianne Moore', 'Joe Pantoliano']",56
703,703,53384,Amenaza de Tormenta,The Gathering Storm,"['Drama', 'Historia']",['Richard Loncraine'],"['world war ii', 'biography', 'history', 'british prime minister', 'british history']","['Albert Finney', 'Vanessa Redgrave', 'Jim Broadbent', 'Linus Roache', 'Lena Headey']",21
737,737,54411,El mundo perdido (Jurassic Park),The Lost World: Jurassic Park,"['Aventura', 'Acción', 'Ciencia ficción']",['Steven Spielberg'],"['exotic island', 'dna', 'paleontology', 'tyrannosaurus rex', 'velociraptor', 'san diego', 'dinosaur', 'jurassic park', 'animal horror']","['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Richard Attenborough', 'Vince Vaughn']",41
740,740,54500,Operación U.N.C.L.E.,The Man from U.N.C.L.E.,"['Comedia', 'Acción', 'Aventura']",['Guy Ritchie'],"['spy', 'cold war', 'remake', 'based on tv series', 'buddy cop', 'russian spy', 'american spy']","['Henry Cavill', 'Armie Hammer', 'Alicia Vikander', 'Elizabeth Debicki', 'Luca Calvani']",33
742,742,54704,Cazadores de sombras: Ciudad de hueso,The Mortal Instruments: City of Bones,"['Acción', 'Aventura', 'Drama', 'Misterio', 'Romance', 'Fantasía']",['Harald Zwart'],"['angel', 'based on novel or book', 'vampire', 'werewolf', 'warlock', 'downworlder', 'shadowhunter', 'demon hunter', 'based on young adult novel']","['Lily Collins', 'Jamie Campbell Bower', 'Kevin Zegers', 'Jemima West', 'Robert Sheehan']",66
744,744,54722,La momia,The Mummy,"['Aventura', 'Acción', 'Fantasía']",['Stephen Sommers'],"['library', 'secret passage', 'cairo', 'egypt', 'pastor', 'pyramid', 'sandstorm', 'solar eclipse', 'mummy', 'foreign legion', 'nile', 'secret society', 'treasure hunt', 'remake', 'tomb', 'ancient egypt', 'opposites attract', '1920s']","['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Oded Fehr', 'Arnold Vosloo']",34
775,775,55417,El rito,The Rite,"['Drama', 'Suspense', 'Terror']",['Mikael Håfström'],"['vatican', 'exorcism', 'violinist', 'god', 'priest', 'hospital', 'church', 'devil', 'miscarriage', 'exorcist', 'disbelief', 'roman catholic', 'seminary', 'limp', 'toad', 'clergy', 'formalin', 'walking cane', 'scepticism']","['Anthony Hopkins', ""Colin O'Donoghue"", 'Alice Braga', 'Toby Jones', 'Ciarán Hinds']",31
776,776,55511,The Sacrament,The Sacrament,"['Terror', 'Misterio', 'Suspense']",['Ti West'],"['poison', 'journalist', 'lethal injection', 'interview', 'cult', 'based on a true story', 'suspense', 'thriller', 'brainwashing', 'massacre', 'cult leader']","['Joe Swanberg', 'AJ Bowen', 'Kentucker Audley', 'Gene Jones', 'Amy Seimetz']",34
778,778,55658,"Cariño, estoy hecho un perro",The Shaggy Dog,"['Comedia', 'Familia']",['Brian Robbins'],"['parent child relationship', 'workaholic', 'wife husband relationship', 'transformation', 'body exchange', 'daughter', 'lawyer', 'dog', 'family', 'turns into animal']","['Tim Allen', 'Kristin Davis', 'Danny Glover', 'Spencer Breslin', 'Robert Downey Jr.']",22
780,780,55679,El resplandor,The Shining,"['Terror', 'Suspense']",['Stanley Kubrick'],"['hotel', 'montana', 'isolation', 'hotelier', 'oregon', 'colorado', 'maze', 'bartender', 'ax', 'delusion', 'loneliness', 'caretaker', 'vision', 'snow', 'writer', 'alcoholic', 'cult film', 'snowed in', 'off season']","['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers', 'Barry Nelson']",22
782,782,55728,La llave del mal,The Skeleton Key,"['Drama', 'Terror', 'Misterio', 'Suspense']",['Iain Softley'],"['nurse', 'secret', 'dream', 'fight', 'kidnapping', 'new orleans', 'key', 'plantation', 'voodoo', 'party', 'lawyer', 'blood', 'violence', 'attic', 'occult']","['Kate Hudson', 'Gena Rowlands', 'Peter Sarsgaard', 'John Hurt', 'Joy Bryant']",43
815,815,57419,Toy Story 3,Toy Story 3,"['Animación', 'Familia', 'Comedia']",['Lee Unkrich'],"['hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'day care', 'teddy bear', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects coming to life', 'toy story']","['Tom Hanks', 'Tim Allen', 'Ned Beatty', 'Joan Cusack', 'Michael Keaton']",35
817,817,57775,El planeta del tesoro,Treasure Planet,"['Aventura', 'Animación', 'Familia', 'Fantasía', 'Ciencia ficción']","['Ron Clements', 'John Musker']","['cyborg', 'loss of loved one', 'based on novel or book', 'space marine', 'mutiny', 'map', 'pirate gang', 'treasure hunt', 'little boy', 'space', 'alien', 'animation', 'money', 'treasure map', 'planet', 'troubled teen', 'space pirate']","['Joseph Gordon-Levitt', 'Brian Murray', 'David Hyde Pierce', 'Emma Thompson', 'Michael Wincott']",67
819,819,57882,Triangle: Remembering the Fire,Triangle: Remembering the Fire,['Documental'],['Daphne Pinkerson'],"['labor strike', ""worker's rights"", 'picketing', 'early america']",[],14
823,823,58432,Redención (Tyrannosaur),Tyrannosaur,"['Drama', 'Romance']",['Paddy Considine'],"['pub', 'beating', 'religion', 'domestic violence', 'pitbull', 'urination', 'violence', 'rage', 'prison visit', 'death of husband', 'drunkenness', 'charity shop']","['Peter Mullan', 'Olivia Colman', 'Eddie Marsan', 'Paul Popplewell', 'Samuel Bottomley']",20
855,855,60822,When Strangers Click: Five Stories from the Internet,When Strangers Click: Five Stories from the Internet,['Documental'],['Robert Kenner'],[],['Jonas Tancred'],14
856,856,60835,Cuando callan las trompetas,When Trumpets Fade,"['Drama', 'Bélica']",['John Irvin'],"['france', 'europe', 'world war ii', 'u.s. army', 'nazi germany', 'infantry']","['Ron Eldard', 'Zak Orth', 'Frank Whaley', 'Dylan Bruno', 'Devon Gummersall']",19
858,858,60859,Donde viven los monstruos,Where the Wild Things Are,"['Familia', 'Fantasía', 'Ciencia ficción']",['Spike Jonze'],"['creature', ""based on children's book"", ""children's book"", 'lying', 'overflowing with imagination', ""children's perspectives""]","['Max Records', 'Catherine Keener', 'Lauren Ambrose', 'James Gandolfini', ""Catherine O'Hara""]",42
861,861,60908,Milla blanca,White Mile,"['Drama', 'Suspense']",['Robert Butler'],['sport'],"['Alan Alda', 'Peter Gallagher', 'Robert Loggia', 'Bruce Altman', 'Fionnula Flanagan']",21
867,867,61119,Winnie the Pooh,Winnie the Pooh,"['Animación', 'Familia']",[],[],[],24
895,895,63456,Wars of Others,Guerras Ajenas,['Documental'],['Carlos Moreno'],"['war on drugs', 'colombia', 'drug war']","['Jorgan Andrews', 'Pedro Arenas', 'Vicente Calapucha', 'Iván Cortéz', 'César Gaviria']",14
897,897,63460,All the Way,All the Way,"['Drama', 'Historia', 'Película de TV']",['Jay Roach'],"['usa president', 'biography', 'politics', 'historical drama', '1960s']","['Bryan Cranston', 'Anthony Mackie', 'Melissa Leo', 'Frank Langella', 'Bradley Whitford']",39
904,904,64489,Herblock: The Black & the White,Herblock: The Black & the White,['Documental'],['Michael Stevens'],[],[],14
908,908,64891,Demolición,Demolition,"['Comedia', 'Drama']",['Jean-Marc Vallée'],"['loss of loved one', 'infidelity', 'carousel ', 'father-in-law', 'car crash', 'grief', 'dark comedy', 'homosexuality', 'grieving widower', 'marijuana', 'pot smoking', 'hospital', 'car accident', 'pregnancy', 'new york city', 'drummer', 'mourning', 'lgbt teen', 'grieving', 'vending machine', 'death of wife', 'investment banker', 'station wagon']","['Jake Gyllenhaal', 'Naomi Watts', 'Chris Cooper', 'Judah Lewis', 'C.J. Wilson']",20
951,951,66751,Dad's Army: El pelotón rechazado,Dad's Army,['Comedia'],['Oliver Parker'],[],"['Catherine Zeta-Jones', 'Bill Nighy', 'Michael Gambon', 'Toby Jones', 'Mark Gatiss']",11
957,957,67147,Macbeth,Macbeth,"['Historia', 'Drama', 'Bélica', 'Aventura']",['Justin Kurzel'],"['scotland', 'shakespeare', 'medieval']","['Michael Fassbender', 'Marion Cotillard', 'Paddy Considine', 'Sean Harris', 'Jack Reynor']",43
960,960,67285,Alicia a través del espejo,Alice Through the Looking Glass,"['Aventura', 'Familia', 'Fantasía']",['James Bobin'],"['based on novel or book', 'clock', 'queen', 'sequel', 'alice in wonderland', 'dark fantasy', 'mad hatter', '3d']","['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Alan Rickman']",35
994,994,68585,Batman: El regreso de los cruzados enmascarados,Batman: Return of the Caped Crusaders,"['Acción', 'Animación', 'Comedia']",['Rick Morales'],"['dc comics', 'superhero', 'super power']","['Adam West', 'Burt Ward', 'Julie Newmar', 'Steven Weber', 'Thomas Lennon']",34
995,995,68588,Edge of Winter,Edge of Winter,"['Drama', 'Suspense']",['Rob Connolly'],"['parent child relationship', 'winter', 'stranded', 'psychological thriller']","['Joel Kinnaman', 'Tom Holland', 'Rachelle Lefevre', 'Percy Hynes White', 'Rossif Sutherland']",21
997,997,68589,Elvis & Nixon,Elvis & Nixon,"['Drama', 'Comedia', 'Historia']",['Liza Johnson'],"['white house', 'usa president', '1970s', 'elvis presley', 'richard nixon', 'singer', 'photograph', 'woman director']","['Kevin Spacey', 'Michael Shannon', 'Alex Pettyfer', 'Johnny Knoxville', 'Colin Hanks']",32
