,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
2600,2600,82413,Déjame salir,Get Out,"['Misterio', 'Suspense', 'Terror']",['Jordan Peele'],"['externally controlled action', 'hypnosis', 'parents-in-law', 'satire', 'dark comedy', 'interracial relationship', 'disappearance', 'african american', 'racism', 'stereotype', 'missing', 'race-conscious']","['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener', 'Caleb Landry Jones']",34
2601,2601,82437,Mafia: Survival Game,Мафия: Игра на выживание,"['Acción', 'Ciencia ficción']",['Sarik Andreasyan'],['3d'],"['Viktor Verzhbitskiy', 'Venyamin Smekhov', 'Vyacheslav Razbegaev', 'Olga Tumaykina', 'Andrey Chadov']",29
2602,2602,82438,Malady,Malady,"['Romance', 'Drama']",['Jack James'],"['horror', 'mystery']","['Roxy Bugler', 'Kemal Yildirim', 'Jill Connick', 'Gary Cross', 'Nicola Wright']",20
2603,2603,82445,Manson's Lost Girls,Manson's Lost Girls,"['Crimen', 'Drama', 'Suspense', 'Película de TV']",['Leslie Libman'],['woman director'],"['Mackenzie Mauzy', 'Eden Brolin', 'Grace Victoria Cox', 'Greer Grammer', 'Christian Madsen']",49
2604,2604,82469,Nina Forever,Nina Forever,"['Terror', 'Comedia', 'Romance']","['Ben Blaine', 'Chris Blaine']","['sex', 'suicide attempt', 'love', 'car accident']","['Abigail Hardingham', 'Cian Barry', ""Fiona O'Shaughnessy"", 'David Troughton', 'Elizabeth Elvin']",32
2605,2605,82879,Un don excepcional,Gifted,"['Drama', 'Familia', 'Comedia']",['Marc Webb'],"['cat', 'intellectually gifted', 'child prodigy', 'mathematics', 'teacher', 'school', 'prize', 'child custody', 'gifted children', 'custody hearing', 'math']","['Chris Evans', 'Mckenna Grace', 'Lindsay Duncan', 'Jenny Slate', 'Octavia Spencer']",31
2640,2640,84304,Nude,Nude,['Documental'],['Anthony B. Sacco'],"['photography', 'creative process', 'nude photography']","['David Bellemere', 'Steve Shaw', 'Rachel Cook', 'Jessica Clements', 'Ebonee Davis']",14
2641,2641,84310,Dónde Está El Dinero,Where's The Money?,['Comedia'],['Scott Zabielski'],[],"['Andrew Bachelor', 'Kat Graham', 'Terry Crews', 'Method Man', 'Mike Epps']",11
2642,2642,84349,Cook-Off!,Cook-Off!,['Comedia'],"['Guy Shalem', 'Cathryn Michon']","['satire', 'mockumentary', 'cooking competition']","['Melissa McCarthy', 'Wendi McLendon-Covey', 'Stephen Root', 'Ben Falcone', 'Diedrich Bader']",11
2643,2643,84353,Baby Driver,Baby Driver,"['Acción', 'Crimen']",['Edgar Wright'],"['robbery', 'waitress', 'atlanta', 'coffee', 'music', 'getaway car', 'crime boss', 'romance', 'heist', 'tinnitus', 'on the run', 'diner', 'shootout', 'long take', 'bank robbery', 'car chase', 'car', 'getaway driver', 'post office', 'headphones', 'sign language', 'armed robbery', 'hearing impaired']","['Ansel Elgort', 'Lily James', 'Kevin Spacey', 'Jon Hamm', 'Jamie Foxx']",20
