,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
10529,10529,60594,Agua para elefantes,Water for Elephants,"['Drama', 'Romance']",['Francis Lawrence'],"['based on novel or book', 'elephant', 'clown', 'great depression', 'elephant trainer', 'veterinary']","['Reese Witherspoon', 'Robert Pattinson', 'Christoph Waltz', 'Hal Holbrook', 'Richard Brake']",20
10530,10530,60628,We Are Your Friends,We Are Your Friends,"['Drama', 'Música', 'Romance', 'Comedia']",['Max Joseph'],"['los angeles', 'san fernando valley', 'dj']","['Zac Efron', 'Emily Ratajkowski', 'Wes Bentley', 'Nick Rotteveel', 'Alessandro Lindblad']",41
10531,10531,60629,Un lugar para soñar,We Bought a Zoo,"['Drama', 'Comedia', 'Familia']",['Cameron Crowe'],"['countryside', 'zoo', 'rain', 'love', 'teenager', 'based on memoir or autobiography', 'animal', 'blocked road', 'hard work']","['Matt Damon', 'Scarlett Johansson', 'Thomas Haden Church', 'Colin Ford', 'Maggie Elizabeth Jones']",31
10532,10532,60670,De boda en boda,Wedding Crashers,"['Comedia', 'Romance']",['David Dobkin'],"['sailing', 'wedding', 'fake identity', 'lying']","['Owen Wilson', 'Vince Vaughn', 'Christopher Walken', 'Rachel McAdams', 'Isla Fisher']",22
10533,10533,60701,Bienvenido a Sarajevo,Welcome to Sarajevo,"['Bélica', 'Drama', 'Historia']",['Michael Winterbottom'],"['england', 'civil war', 'journalist', 'sarajevo', 'orphanage', 'bosnian war of 1992-1995']","['Stephen Dillane', 'Woody Harrelson', 'Marisa Tomei', 'Goran Visnjic', 'Emira Nušević']",31
10536,10536,60750,Más allá de los sueños,What Dreams May Come,"['Drama', 'Fantasía', 'Romance']",['Vincent Ward'],"['paradise', 'soul', 'underworld', 'heaven', 'painting', 'hell', 'afterlife', 'spiritism']","['Robin Williams', 'Cuba Gooding Jr.', 'Annabella Sciorra', 'Max von Sydow', 'Jessica Brooks Grant']",32
10537,10537,60791,Dime con cuántos,What's Your Number?,"['Comedia', 'Romance']",['Mark Mylod'],"['based on novel or book', 'loser', 'magazine', 'womanizer', 'mission', 'search', 'boyfriend', 'husband', 'fired', 'past relationship']","['Chris Evans', 'Anna Faris', 'Martin Freeman', 'Chris Pratt', 'Ari Graynor']",22
10565,10565,61310,Guerra mundial Z,World War Z,"['Acción', 'Drama', 'Terror', 'Ciencia ficción', 'Suspense']",['Marc Forster'],"['philadelphia', 'new jersey', 'based on novel or book', 'jerusalem', 'dystopia', 'apocalypse', 'zombie', 'south korea', 'nuclear weapons', 'multiple perspectives', 'zombie apocalypse']","['Brad Pitt', 'Mireille Enos', 'Abigail Hargrove', 'Sterling Jerins', 'James Badge Dale']",60
10566,10566,61327,¡Rompe Ralph!,Wreck-It Ralph,"['Familia', 'Animación', 'Comedia', 'Aventura']",['Rich Moore'],"['support group', 'product placement', 'bullying', 'racing', 'arcade', 'medal', 'self esteem', 'curiosity', 'precocious child', 'aftercreditsstinger', 'duringcreditsstinger', 'first person shooter', 'glitch', 'carefree', 'video gamer', 'q*bert', 'interrupted wedding', 'social reject', 'purpose of life']","['Jane Lynch', 'Alan Tudyk', 'Mindy Kaling', 'Joe Lo Truglio', 'Jack McBrayer']",47
10568,10568,61329,Wrecked,Wrecked,"['Misterio', 'Suspense']",['Michael Greenspan'],"['robbery', 'amnesia', 'hallucination', 'forest', 'alone', 'murder', 'car crash', 'survival', 'memory', 'dog', 'car wreck', 'broken leg']","['Adrien Brody', 'Caroline Dhavernas', 'Ryan Robbins', 'Adrian Holmes', 'Adrian G. Griffiths']",24
10570,10570,61381,X-Men,X-Men,"['Aventura', 'Acción', 'Ciencia ficción']",['Bryan Singer'],"['mutant', 'superhero', 'based on comic', 'superhuman']","['Hugh Jackman', 'Patrick Stewart', 'Ian McKellen', 'Famke Janssen', 'James Marsden']",41
10571,10571,61382,X-Men orígenes: Lobezno,X-Men Origins: Wolverine,"['Aventura', 'Acción', 'Suspense', 'Ciencia ficción']",['Gavin Hood'],"['corruption', 'mutant', 'boxer', 'army', 'prequel', 'superhero', 'based on comic', 'spin off', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel comics']","['Hugh Jackman', 'Liev Schreiber', 'Danny Huston', 'Lynn Collins', 'Ryan Reynolds']",53
10603,10603,62040,Baile mi rey!,¡Baile mi rey!,['Comedia'],['Roberto Rodríguez'],"['dance teacher', 'emotional intelligence']","['Silvia Derbez', 'Carlos Valadez', 'Josefina del Mar', 'Adalberto Martínez']",11
10656,10656,68287,Dos buenos tipos,The Nice Guys,"['Acción', 'Comedia', 'Crimen', 'Misterio']",['Shane Black'],"['pornography', 'detective', '1970s', 'investigation', 'daughter', 'alcoholism', 'party', 'conspiracy', 'private investigator', 'alcoholic', 'private eye', 'father daughter relationship']","['Russell Crowe', 'Ryan Gosling', 'Angourie Rice', 'Matt Bomer', 'Margaret Qualley']",43
10657,10657,68292,Deseo peligroso,Urge,"['Suspense', 'Misterio']",['Aaron Kaufman'],"['paradise', 'island', 'party', 'friends', 'murder', 'drugs', 'hedonism', 'getaway', 'duringcreditsstinger', 'night club owner']","['Ashley Greene', 'Alexis Knapp', 'Pierce Brosnan', 'Justin Chatwin', 'Danny Masterson']",24
10737,10737,75082,People Get Eaten,Mennesker bliver spist,"['Comedia', 'Drama']",['Erik Clausen'],[],"['Erik Clausen', 'Bodil Jørgensen', 'Lærke Winther Andersen', 'Leif Sylvester', 'Besir Zeciri']",20
10738,10738,75275,Max Steel,Max Steel,"['Acción', 'Aventura', 'Ciencia ficción']",['Stewart Hendler'],['superhero'],"['Ben Winchell', 'Josh Brener', 'Ana Villafañe', 'Andy García', 'Maria Bello']",41
10780,10780,78530,Dirty Dancing,Dirty Dancing,"['Música', 'Drama', 'Romance', 'Película de TV']",['Wayne Blair'],"['musical', 'remake', 'catskills', '1960s', 're-imagining']","['Abigail Breslin', 'Colt Prattes', 'Sarah Hyland', 'Debra Messing', 'Bruce Greenwood']",48
10781,10781,78699,The Harvest,The Harvest,"['Terror', 'Suspense']",['John McNaughton'],"['sick child', 'dark secrets', 'child']","['Samantha Morton', 'Michael Shannon', 'Natasha Calis', 'Charlie Tahan', 'Peter Fonda']",22
10782,10782,78845,La guerra del planeta de los simios,War for the Planet of the Apes,"['Drama', 'Ciencia ficción', 'Bélica']",['Matt Reeves'],"['based on novel or book', 'sequel', 'anthropomorphism', 'ape']","['Andy Serkis', 'Woody Harrelson', 'Steve Zahn', 'Karin Konoval', 'Terry Notary']",38
10817,10817,82881,El último virrey de la India,Viceroy's House,"['Drama', 'Historia']",['Gurinder Chadha'],"['independence', 'religious conflict', 'colonial india']","['Hugh Bonneville', 'Gillian Anderson', 'Michael Gambon', 'Manish Dayal', 'Huma Qureshi']",21
10818,10818,83125,Si no despierto,Before I Fall,"['Drama', 'Misterio', 'Suspense', 'Fantasía']",['Ry Russo-Young'],"['based on novel or book', 'time loop', 'female protagonist', 'teenager', 'mumblecore', 'teen drama', 'based on young adult novel']","['Zoey Deutch', 'Halston Sage', 'Logan Miller', 'Elena Kampouris', 'Jennifer Beals']",45
10819,10819,83132,Brimstone. La hija del predicador,Brimstone,"['Misterio', 'Suspense', 'Western']",['Martin Koolhoven'],"['gun', 'mute', 'blood', 'violence', 'religious', 'cowboy', 'mute girl', 'reverend', 'sign language']","['Guy Pearce', 'Dakota Fanning', 'Carice van Houten', 'Kit Harington', 'Emilia Jones']",35
10822,10822,83748,Un reino unido,A United Kingdom,"['Drama', 'Historia']",['Amma Asante'],"['africa', 'based on novel or book', 'biography', 'marriage', 'botswana', 'based on a true story', 'interracial marriage', 'king', 'woman director']","['David Oyelowo', 'Rosamund Pike', 'Tom Felton', 'Jack Davenport', 'Terry Pheto']",21
10823,10823,83895,Mañana empieza todo,Demain tout commence,"['Drama', 'Comedia']",['Hugo Gélin'],"['london england', 'single parent', 'parent child relationship', 'stuntman', 'remake', 'children', 'parenting', 'single father', 'black family', 'lying', 'absent parent', 'frenchman abroad']","['Omar Sy', 'Clémence Poésy', 'Antoine Bertrand', 'Gloria Colston', 'Ashley Walters']",20
10856,10856,85814,Cass,Cass,"['Crimen', 'Drama']",['Jon S. Baird'],"['biography', 'hooligan', 'independent film']","['Nonso Anozie', 'Natalie Press', 'Leo Gregory', 'Gavin Brocker', 'Daniel Kaluuya']",19
10858,10858,85815,Bailar con un extraño,Dance with a Stranger,"['Crimen', 'Drama']",['Mike Newell'],"['london england', 'nightclub', 'based on a true story', 'murder', 'romance', 'capital punishment', 'single mother', 'true crime', 'older woman younger man relationship', 'shot', '1950s', 'female criminal']","['Miranda Richardson', 'Rupert Everett', 'Ian Holm', 'Stratford Johns', 'Joanne Whalley']",19
10895,10895,88522,Feliz día de tu muerte,Happy Death Day,"['Terror', 'Misterio', 'Suspense']",['Christopher B. Landon'],"['college', 'murder', 'time loop', 'young adult', 'college student']","['Jessica Rothe', 'Israel Broussard', 'Ruby Modine', 'Rachel Matthews', 'Charles Aitken']",34
10896,10896,88523,Blind,Blind,['Romance'],[],[],[],11
10929,10929,90952,Stickman,Stickman,"['Suspense', 'Terror']",['Sheldon Wilson'],"['poem', 'monster', 'nightmare', 'mental institution']","['Hayley Law', 'Sara García', 'Zoé De Grand Maison', 'Erik Knudsen', 'Alanna Bale']",22
10932,10932,90973,Beta Test,Beta Test,"['Suspense', 'Acción', 'Ciencia ficción']",['Nicholas Gyeney'],"['video game', 'gun', 'sword fight', 'conspiracy', 'gamer', 'fighting']","['Manu Bennett', 'Larenz Tate', 'Linden Ashby', 'Kevon Stover', 'Sara Coates']",41
10933,10933,91096,Miami,Miami,['Drama'],['Zaida Bergroth'],[],"['Krista Kosonen', 'Sonja Kuittinen', 'Alex Anton', 'Juhan Ulfsak', 'Christian Lindroos']",9
10977,10977,92545,Visceral: Entre las Cuerdas de la Locura,Visceral: Entre las Cuerdas de la Locura,['Terror'],['Felipe Eluti'],"['bondage', 'gore', 'serial killer', 'torture', 'mutilation', 'boxing']","['Felipe Eluti', 'Valentina Varela', 'José Manuel García']",10
10978,10978,92546,Boonie Bears: Mystical Winter,Boonie Bears: Mystical Winter,"['Animación', 'Comedia', 'Familia']","['Leon Ding', 'Liu Fuyuan']",[],"['Zhang Wei', 'Zhang Bingjun', 'Tan Xiao']",35
11254,11254,7989,Regreso al futuro II,Back to the Future Part II,"['Aventura', 'Comedia', 'Familia', 'Ciencia ficción']",['Robert Zemeckis'],"['skateboarding', 'flying car', 'car race', 'delorean', 'lightning', 'almanac', 'inventor', 'time travel', 'sequel', 'diner', 'alternate history', 'teenager', 'electric guitar', 'walking cane', 'high school dance', 'hoverboard', 'video phone']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Elisabeth Shue', 'James Tolkan']",53
11255,11255,7990,Regreso al futuro III,Back to the Future Part III,"['Aventura', 'Comedia', 'Familia', 'Ciencia ficción']",['Robert Zemeckis'],"['railroad robber', 'california', 'delorean', 'indian territory', 'sports car', 'inventor', 'locomotive', 'saloon', 'horseback riding', 'time travel', 'outlaw', 'sequel', 'mad scientist', 'native american', 'western', 'shootout', 'gunfight', 'train', 'wild west', 'cavalry']","['Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen', 'Thomas F. Wilson', 'Lea Thompson']",53
11295,11295,8567,"Bean, lo último en cine catastrófico",Bean,['Comedia'],['Mel Smith'],"['paris france', 'london england', 'california', 'airport', 'vault', 'destroy', 'museum', 'arts and culture', 'chaos', 'repair', 'clumsy fellow', 'guard', 'arts expert', 'host family', 'damage', 'poster', 'artwork', 'creativity', 'painting', 'farce', 'hospital', 'los angeles', 'amusement park', 'teenage rebellion', 'laxative']","['Rowan Atkinson', 'Peter MacNicol', 'John Mills', 'Pamela Reed', 'Harris Yulin']",11
11334,11334,9182,El hombre bicentenario,Bicentennial Man,"['Comedia', 'Ciencia ficción', 'Drama']",['Chris Columbus'],"['android', 'hologram', 'freedom', 'futuristic', 'robot']","['Robin Williams', 'Sam Neill', 'Embeth Davidtz', 'Oliver Platt', 'Kiersten Warren']",39
11336,11336,9215,Big,Big,"['Fantasía', 'Drama', 'Comedia', 'Romance', 'Familia']",['Penny Marshall'],"['baseball', 'co-worker', 'bronx, new york city', 'pinball machine', 'toy maker', 'duet', 'job promotion', 'homesick', 'new toy', 'quarter', 'unplugged electronic works', 'yankee stadium bronx new york city', 'walking on piano keys', 'wish fulfillment', 'bunk bed', 'woman director']","['Tom Hanks', 'Elizabeth Perkins', 'Robert Loggia', 'John Heard', 'Jared Rushton']",54
11528,11528,12968,Cinderella Man: El hombre que no se dejó tumbar,Cinderella Man,"['Romance', 'Drama', 'Historia']",['Ron Howard'],"['transporter', 'netherlands', 'world cup', 'socially deprived family', ""family's daily life"", 'boxer', 'boxing match', 'comeback', 'training', 'heavy weight', 'folk hero', 'biography', 'daughter', 'defeat', 'sport']","['Russell Crowe', 'Renée Zellweger', 'Paul Giamatti', 'Craig Bierko', 'Paddy Considine']",32
11529,11529,13065,Ciudadano Kane,Citizen Kane,"['Misterio', 'Drama']",['Orson Welles'],"['journalist', 'newspaper', 'florida', 'capitalist', 'banker', 'media tycoon', 'art collector', 'sleigh', 'money', 'child']","['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Ray Collins', 'George Coulouris']",21
11531,11531,13105,Citizen Buelna,Ciudadano Buelna,['Drama'],['Felipe Cazals'],['mexican revolution'],"['Sebastián Zurita', 'Marimar Vega', 'Demián Alcázar', 'Tenoch Huerta']",9
11533,11533,13211,Cleaner,Cleaner,"['Crimen', 'Suspense', 'Misterio']",['Renny Harlin'],['cover-up'],"['Samuel L. Jackson', 'Ed Harris', 'Eva Mendes', 'Luis Guzmán', 'Keke Palmer']",34
11564,11564,14181,Counter Investigation,Contre-Enquête,['Suspense'],['Franck Mancuso'],"['investigation', 'serial killer']","['Jean Dujardin', 'Laurent Lucas', 'Agnès Blanchot', 'Aurélien Recoing', 'Jacques Frantz']",12
11566,11566,14210,La jungla humana,Coogan's Bluff,"['Acción', 'Crimen', 'Drama', 'Suspense']",['Don Siegel'],"['escape', 'fish out of water', 'chrysler building']","['Clint Eastwood', 'Lee J. Cobb', 'Susan Clark', 'Tisha Sterling', 'Don Stroud']",41
11570,11570,14245,Copenhagen,Copenhagen,"['Aventura', 'Romance', 'Drama']",['Mark Raso'],[],"['Gethin Anthony', 'Frederikke Dahl Hansen', 'Sebastian Armesto', 'Olivia Grant', 'Baard Owe']",32
11571,11571,14265,Los mundos de Coraline,Coraline,"['Animación', 'Familia']",['Henry Selick'],"['dream', 'eye', 'stop motion', 'stuffed animal', 'parallel world', 'button', 'new home', 'secret door', 'aftercreditsstinger', 'duringcreditsstinger', '3d']","['Dakota Fanning', 'Teri Hatcher', 'Jennifer Saunders', 'Dawn French', 'Keith David']",24
11573,11573,14394,Cosmópolis,Cosmopolis,['Drama'],['David Cronenberg'],"['sex', 'bookshop', 'homeless person', 'paparazzi', 'bodyguard', 'limousine', 'anarchist', 'murder', 'billionaire', 'limousine driver', 'squatting', 'barber', 'voice recognition', 'deformity']","['Robert Pattinson', 'Juliette Binoche', 'Paul Giamatti', 'Sarah Gadon', 'Samantha Morton']",9
11575,11575,14442,Paris Express,Coursier,"['Comedia', 'Acción', 'Crimen']",['Hervé Renoh'],[],"['Michaël Youn', 'Géraldine Nakache', 'Jimmy Jean-Louis', 'Catalina Denis', 'Didier Flamand']",31
11577,11577,14504,Crawlspace,Crawlspace,"['Terror', 'Ciencia ficción', 'Misterio', 'Suspense']",['Justin Dix'],"['underground', 'experiment', 'australia', 'special forces']","['Amber Clayton', 'Eddie Baroo', 'Justin Batchelor', 'Nicholas Bell', 'John Brumpton']",53
11604,11604,15180,Papá canguro,Daddy Day Care,"['Comedia', 'Familia']",['Steve Carr'],"['competition', 'success', 'kindergarten', 'children', 'unemployment']","['Eddie Murphy', 'Jeff Garlin', 'Steve Zahn', 'Regina King', 'Kevin Nealon']",22
