,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
859,859,57029,A Roma con amor,To Rome with Love,"['Romance', 'Comedia', 'Drama']",['Woody Allen'],"['rome italy', 'expatriate', 'episodic']","['Woody Allen', 'Roberto Benigni', 'Penélope Cruz', 'Alec Baldwin', 'Judy Davis']",31
860,860,57048,Toast,Toast,"['Drama', 'Comedia', 'Historia', 'Familia']",['S.J. Clarkson'],"['adolescence', 'nostalgia', 'autobiography', 'gay interest', 'cookies', 'woman director']","['Freddie Highmore', 'Ken Stott', 'Victoria Hamilton', 'Oscar Kennedy', 'Helena Bonham Carter']",43
861,861,57074,Todas para uno,Todas para uno,['Comedia'],['Harold Trompetero'],[],"['Santiago Alarcón', 'Alejandro Riaño', 'Jessica Cediel', 'María Helena Döering']",11
862,862,57105,Todo sobre mi madre,Todo sobre mi madre,"['Comedia', 'Drama']",['Pedro Almodóvar'],"['barcelona spain', 'transvestism', 'transsexuality', 'drug abuse', 'transplantation', 'madrid', 'birthday', 'autograph', 'actress', 'friend']","['Penélope Cruz', 'Cecilia Roth', 'Marisa Paredes', 'Candela Peña', 'Antonia San Juan']",20
863,863,57295,Top Gun,Top Gun,"['Acción', 'Romance', 'Bélica']",['Tony Scott'],"['loss of loved one', 'lovesickness', 'fighter pilot', 'self-discovery', 'pilot', 'dying and death', 'officer', 'training camp', 'air force', 'airplane', 'dangerous', 'battle assignment', 'u.s. navy', 'hostility', 'secret love', 'cowardliness', 'pilot school']","['Tom Cruise', 'Kelly McGillis', 'Val Kilmer', 'Anthony Edwards', 'Tom Skerritt']",31
866,866,57450,Tracker,Tracker,"['Acción', 'Drama', 'Suspense', 'Aventura']",['Ian Sharp'],[],"['Ray Winstone', 'Temuera Morrison', 'Andy Anderson', 'Gareth Reeves', 'Mark Mitchinson']",43
867,867,57596,Transformers,Transformers,"['Aventura', 'Ciencia ficción', 'Acción']",['Michael Bay'],"['destroy', 'transformation', 'alien', 'based on toy', 'transformers', 'robot', 'duringcreditsstinger', 'teenage hero']","['Shia LaBeouf', 'Josh Duhamel', 'Megan Fox', 'Rachael Taylor', 'Tyrese Gibson']",41
868,868,57599,Transformers: El lado oscuro de la Luna,Transformers: Dark of the Moon,"['Acción', 'Ciencia ficción', 'Aventura']",['Michael Bay'],"['moon', 'spacecraft', 'traitor', 'bodyguard', 'alien planet', 'based on cartoon', 'transformers', 'giant robot', 'sabotage', 'word domination', 'commando', 'duringcreditsstinger']","['Shia LaBeouf', 'John Malkovich', 'Ken Jeong', 'Frances McDormand', 'Josh Duhamel']",41
869,869,57602,Transit,Transit,"['Acción', 'Suspense', 'Crimen']",['Antonio Negret'],['car chase'],"['Jim Caviezel', 'Elisabeth Röhm', 'James Frain', 'Diora Baird', 'Harold Perrineau']",32
870,870,57837,Tres deseos,Tres deseos,"['Romance', 'Drama']",[],[],"['Antonio Birabent', 'Florencia Raggi', 'Julieta Cardinali']",20
