,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
120,120,43036,Piratas del Caribe. La maldición de la Perla Negra,Pirates of the Caribbean: The Curse of the Black Pearl,"['Aventura', 'Fantasía', 'Acción']",['Gore Verbinski'],"['exotic island', 'blacksmith', 'east india trading company', 'gold', 'marriage proposal', 'mutiny', 'jamaica', 'skeleton', 'daughter', 'governor', 'wooden eye', 'gold coin', 'pirate', 'alcoholic', 'swashbuckler', 'caribbean', 'aftercreditsstinger', 'pirate ship', 'capuchin monkey', 'tortuga', 'based on young adult novel']","['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport']",34
122,122,43205,Jugar para ganar,Playing for Keeps,['Drama'],['Gary Harvey'],['biography'],"['Jennifer Finnigan', 'Roger Cross', 'Doug Savant', 'Brian Markinson', 'Enuka Okuma']",9
123,123,43778,Pretty Woman,Pretty Woman,"['Romance', 'Comedia']",['Garry Marshall'],"['prostitute', 'capitalism', 'cinderella', 'expensive restaurant', 'sports car', 'workaholic', 'fire escape', 'friendship', 'los angeles', 'piano']","['Julia Roberts', 'Richard Gere', 'Ralph Bellamy', 'Jason Alexander', 'Héctor Elizondo']",22
124,124,44097,Psicosis,Psycho,"['Drama', 'Terror', 'Suspense']",[],"['hotel', 'clerk', 'arizona', 'shower', 'rain', 'motel', 'taxidermy', 'money', 'secretary', 'corpse', 'murderer', 'theft', 'private detective', 'proto-slasher']",[],31
154,154,47582,Serena,Serena,['Drama'],['Susanne Bier'],"['corruption', 'sheriff', 'mountain', 'wilderness', 'ambition', 'north carolina', 'marriage', 'murder', 'debt', 'empire', 'hunting', 'woman director', 'logging', '1920s']","['Jennifer Lawrence', 'Bradley Cooper', 'Rhys Ifans', 'Toby Jones', 'Blake Ritson']",9
155,155,48450,The Four,四大名捕,"['Acción', 'Drama', 'Crimen']","['Gordon Chan', 'Janet Chun Siu Jan']","['zombie', 'counterfeiter', 'woman director']","['Deng Chao', 'Liu Yifei', 'Collin Chou', 'Ronald Cheng', 'Anthony Wong']",29
156,156,48451,The Four 2,4 มหากาฬพญายม 2,['Acción'],"['Gordon Chan', 'Janet Chun Siu Jan']","['martial arts', 'hong kong', 'chinese tradition', 'woman director']","['Deng Chao', 'Liu Yifei', 'Anthony Wong', 'Collin Chou', 'Ronald Cheng']",10
157,157,48452,The Four 3,四大名捕大结局,"['Acción', 'Crimen']","['Gordon Chan', 'Janet Chun Siu Jan']","['china', 'martial arts', 'hong kong', 'woman director']","['Deng Chao', 'Liu Yifei', 'Collin Chou', 'Ronald Cheng', 'Anthony Wong']",20
158,158,48531,Señales,Signs,"['Drama', 'Suspense', 'Ciencia ficción', 'Misterio']",['M. Night Shyamalan'],"['symbolism', 'water', 'farm', 'faith', 'alien', 'family relationships', 'rural setting', 'alien invasion', 'crop circle', 'alien attack', 'loss of faith', 'alien encounter']","['Mel Gibson', 'Joaquin Phoenix', 'Rory Culkin', 'Abigail Breslin', 'Cherry Jones']",52
159,159,48578,El lado bueno de las cosas,Silver Linings Playbook,"['Drama', 'Comedia', 'Romance']",['David O. Russell'],"['dancing', 'philadelphia', 'running', 'based on novel or book', 'depression', 'letter', 'friendship', 'neighbor', 'mental illness', 'ex-wife', 'institutionalization', 'bipolar', 'philadelphia eagles']","['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro', 'Jacki Weaver', 'Chris Tucker']",31
160,160,48925,Slumdog Millionaire,Slumdog Millionaire,"['Drama', 'Romance']",['Danny Boyle'],"['slum', 'indian lead', 'cheating', 'suspicion', 'game show', 'quiz show', 'orphan', 'duringcreditsstinger', 'taj mahal', 'mumbai']","['Dev Patel', 'Freida Pinto', 'Anil Kapoor', 'Mia Drake Inderbitzin', 'Saurabh Shukla']",20
162,162,49431,Hermandad de sangre,Sorority Row,"['Terror', 'Misterio']",['Stewart Hendler'],"['ax', 'graduation', 'serial killer', 'blood', 'slasher', 'killer', 'sorority house']","['Rumer Willis', 'Briana Evigan', 'Jamie Chung', 'Leah Pipes', 'Teri Andrzejewski']",22
190,190,53813,Un viaje de diez metros,The Hundred-Foot Journey,['Drama'],['Lasse Hallström'],"['france', 'based on novel or book', 'indian lead', 'restaurant', 'family']","['Helen Mirren', 'Manish Dayal', 'Om Puri', 'Charlotte Le Bon', 'Rohan Chand']",9
191,191,53836,En tierra hostil,The Hurt Locker,"['Drama', 'Suspense', 'Bélica']",['Kathryn Bigelow'],"['sniper', 'explosive', 'loyalty', 'u.s. army', 'middle east conflict', 'iraq', 'car bomb', 'suspense', 'rescue', 'tension', 'trap', 'terrorism', 'soldier', 'violence', 'iraq war', 'desert', 'bomb squad', 'body armor', 'woman director', 'army sergeant']","['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty', 'Guy Pearce', 'Ralph Fiennes']",31
192,192,53882,Los increíbles,The Incredibles,"['Acción', 'Aventura', 'Animación', 'Familia']",['Brad Bird'],"['secret identity', 'secret', 'hero', 'island', 'wretch', 'supernatural powers', 'weapon', 'lawsuit', 'superhero']","['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Spencer Fox', 'Jason Lee']",46
193,193,54258,La leyenda del Zorro,The Legend of Zorro,"['Acción', 'Aventura']",['Martin Campbell'],"['california', 'spy', 'mexico', 'parent child relationship', 'hero', 'marriage crisis', 'sword fight', 'divorce', 'american civil war']","['Antonio Banderas', 'Catherine Zeta-Jones', 'Adrián Alonso Barona', 'Julio Oscar Mechoso', 'Nick Chinlund']",22
194,194,54283,Life Aquatic,The Life Aquatic with Steve Zissou,"['Aventura', 'Comedia', 'Drama']",['Wes Anderson'],"['parent child relationship', 'red cap', 'rivalry', 'dysfunctional family', 'pirate', 'oceanography', 'scientific expedition', 'absurd humor', 'diorama', 'research turtles', 'acoustic guitar']","['Bill Murray', 'Anjelica Huston', 'Cate Blanchett', 'Willem Dafoe', 'Owen Wilson']",32
195,195,54379,Lórax: En busca de la trúfula perdida,The Lorax,"['Animación', 'Familia']","['Chris Renaud', 'Kyle Balda']","['tree', ""based on children's book"", 'walled city', 'reforestation', 'tree cutting']","['Zac Efron', 'Danny DeVito', 'Taylor Swift', 'Ed Helms', 'Rob Riggle']",24
196,196,54618,The Messengers,The Messengers,"['Misterio', 'Suspense', 'Terror']","['Danny Pang', 'Oxide Pang Chun']","['kitchen', 'north dakota', 'little boy', 'rural setting', 'heavy rain', 'sunflower', 'child murder', 'raven', 'death threat']","['Kristen Stewart', 'Dylan McDermott', 'Penelope Ann Miller', 'John Corbett', 'William B. Davis']",34
197,197,54741,La música nunca dejó de sonar,The Music Never Stopped,['Drama'],['Jim Kohlberg'],['independent film'],"['J.K. Simmons', 'Lou Taylor Pucci', 'Julia Ormond', 'Cara Seymour', 'Mía Maestro']",9
227,227,61327,¡Rompe Ralph!,Wreck-It Ralph,"['Familia', 'Animación', 'Comedia', 'Aventura']",['Rich Moore'],"['support group', 'product placement', 'bullying', 'racing', 'arcade', 'medal', 'self esteem', 'curiosity', 'precocious child', 'aftercreditsstinger', 'duringcreditsstinger', 'first person shooter', 'glitch', 'carefree', 'video gamer', 'q*bert', 'interrupted wedding', 'social reject', 'purpose of life']","['Jane Lynch', 'Alan Tudyk', 'Mindy Kaling', 'Joe Lo Truglio', 'Jack McBrayer']",47
228,228,61861,Suspense... hora cero,Zero Hour!,"['Drama', 'Suspense']",['Hall Bartlett'],"['airport', 'canada', 'airplane', 'disaster', 'food poisoning', 'doctor', 'crash landing']","['Dana Andrews', 'Linda Darnell', 'Sterling Hayden', ""Elroy 'Crazylegs' Hirsch"", 'Geoffrey Toone']",21
229,229,61965,Zooloco,Zookeeper,"['Comedia', 'Romance', 'Familia']",['Frank Coraci'],"['zoo', 'anthropomorphism', 'zookeeper', 'scientist', 'ostrich', 'monkey', 'bullfrog', 'car dealership', 'duringcreditsstinger']","['Kevin James', 'Rosario Dawson', 'Sylvester Stallone', 'Nick Nolte', 'Jon Favreau']",33
230,230,74163,Los siete magníficos,The Magnificent Seven,"['Aventura', 'Acción', 'Western']",['Antoine Fuqua'],['remake'],"['Denzel Washington', 'Chris Pratt', 'Ethan Hawke', ""Vincent D'Onofrio"", 'Lee Byung-hun']",33
